UNIT,TOTAL
R055,1949
R408,1948
R023,1944
R031,1941
R053,1937
R232,1937
R181,1931
R001,1930
R273,1929
R120,1929
R202,1927
R054,1926
R261,1924
R010,1924
R031,1922
R020,1921
R437,1920
R243,1919
R203,1916
R122,1915
R064,1914
R093,1913
R086,1913
R011,1911
R452,1909
R101,1904
R546,1899
R211,1898
R012,1897
R010,1896
R180,1895
R202,1895
R218,1892
R437,1891
R238,1891
R182,1889
R062,1887
R452,1887
R190,1882
R259,1881
R024,1878
R021,1876
R322,1876
R011,1874
R050,1874
R079,1874
R023,1873
R096,1873
R361,1873
R248,1872
R107,1870
R222,1869
R081,1868
R148,1864
R010,1863
R235,1863
R170,1862
R179,1862
R001,1859
R153,1858
R223,1857
R200,1855
R055,1854
R180,1853
R215,1852
R170,1852
R042,1851
R018,1850
R461,1849
R380,1845
R055,1844
R120,1843
R116,1842
R153,1839
R157,1839
R062,1837
R101,1836
R080,1833
R176,1831
R051,1830
R010,1829
R293,1829
R127,1828
R011,1828
R178,1827
R166,1827
R023,1824
R552,1820
R322,1818
R275,1818
R390,1818
R035,1816
R116,1816
R023,1814
R039,1812
R195,1810
R181,1810
R049,1807
R192,1807
R322,1806
R084,1804
R381,1802
R081,1800
R536,1799
R022,1798
R105,1797
R147,1796
R175,1796
R032,1795
R235,1794
R166,1793
R175,1793
R055,1791
R181,1790
R050,1786
R181,1783
R012,1782
R187,1781
R015,1778
R098,1777
R168,1777
R168,1776
R012,1775
R386,1775
R020,1774
R020,1773
R218,1773
R081,1772
R175,1771
R081,1771
R182,1770
R054,1769
R045,1768
R055,1766
R233,1764
R053,1761
R368,1759
R122,1759
R136,1758
R141,1754
R209,1753
R050,1752
R209,1748
R171,1747
R236,1745
R116,1744
R206,1743
R406,1743
R463,1741
R010,1741
R001,1740
R382,1739
R275,1738
R196,1735
R445,1734
R057,1731
R130,1730
R265,1729
R001,1728
R024,1728
R010,1728
R186,1727
R092,1727
R132,1726
R193,1726
R091,1725
R148,1725
R232,1725
R377,1723
R032,1723
R085,1722
R100,1721
R223,1720
R233,1719
R308,1719
R269,1718
R390,1714
R212,1713
R242,1713
R167,1712
R178,1711
R378,1709
R208,1708
R452,1706
R536,1706
R236,1706
R098,1705
R062,1705
R178,1703
R176,1702
R463,1700
R189,1700
R015,1699
R020,1695
R021,1695
R170,1695
R327,1693
R302,1693
R056,1689
R311,1689
R236,1688
R222,1688
R223,1687
R452,1687
R114,1687
R364,1687
R203,1687
R057,1686
R012,1686
R082,1684
R010,1682
R050,1680
R276,1678
R382,1678
R235,1677
R031,1677
R032,1675
R248,1675
R112,1675
R099,1674
R254,1674
R012,1672
R180,1670
R196,1670
R378,1668
R195,1667
R196,1666
R031,1665
R187,1665
R137,1664
R022,1663
R282,1663
R120,1661
R293,1660
R167,1660
R408,1659
R012,1659
R143,1654
R323,1653
R197,1653
R293,1653
R195,1653
R111,1652
R293,1652
R034,1651
R057,1650
R158,1649
R055,1648
R202,1648
R047,1647
R088,1647
R207,1647
R166,1647
R373,1644
R012,1644
R463,1643
R162,1642
R184,1641
R098,1639
R122,1639
R057,1638
R126,1637
R295,1636
R084,1634
R388,1634
R163,1633
R162,1633
R030,1633
R452,1631
R084,1631
R104,1630
R142,1629
R034,1629
R300,1628
R022,1628
R207,1627
R126,1627
R222,1626
R436,1625
R189,1623
R196,1623
R105,1622
R062,1621
R018,1619
R113,1619
R119,1618
R081,1618
R083,1617
R235,1616
R132,1615
R172,1614
R053,1613
R174,1613
R546,1611
R178,1611
R024,1610
R061,1607
R179,1606
R103,1606
R149,1605
R379,1603
R065,1603
R037,1602
R021,1602
R374,1602
R036,1601
R319,1601
R182,1599
R194,1599
R023,1598
R211,1598
R175,1597
R178,1597
R362,1597
R040,1596
R103,1594
R057,1592
R399,1592
R191,1591
R248,1591
R023,1590
R132,1589
R088,1588
